"congress","state_abbrev","district_code","district_id","party_code","icpsr","bioname","nominate_dim1","nominate_dim2","nokken_poole_dim1","nokken_poole_dim2","lcv_pooled_score","est_jobs"
101,"AL",2,"AL-02",200,10717,"DICKINSON, William Louis",0.398,-0.057,0.402,-0.246,16.6666666666667,20.0100937140115
101,"AL",4,"AL-04",100,11000,"BEVILL, Tom",-0.213,0.976,-0.182,0.853,38.8888888888889,2636.52473434875
101,"AL",5,"AL-05",100,14419,"FLIPPO, Ronnie Gene",-0.175,0.834,-0.138,0.698,50,10.0557052236278
101,"AL",6,"AL-06",100,15022,"ERDREICH, Ben",-0.06,0.372,-0.085,0.352,77.7777777777778,1970.86513706314
101,"AL",1,"AL-01",200,15090,"CALLAHAN, Herbert Leon (Sonny)",0.373,0.202,0.374,0.217,16.6666666666667,403.396976618744
101,"AL",7,"AL-07",100,15416,"HARRIS, Claude, Jr.",-0.085,0.593,-0.117,0.629,61.1111111111111,3391.38454694939
101,"AL",3,"AL-03",100,15632,"BROWDER, John Glen",-0.165,0.826,-0.12,0.589,72.2222222222222,0.00853013164176343
101,"AK",1,"AK-AL",200,14066,"YOUNG, Donald Edwin",0.283,0.022,0.292,-0.223,11.1111111111111,3166
101,"AZ",2,"AZ-02",100,10566,"UDALL, Morris King",-0.387,0.008,-0.416,0.061,72.2222222222222,74.2895057907459
101,"AZ",3,"AZ-03",200,14454,"STUMP, Robert Lee",0.703,0.203,0.908,-0.418,5.55555555555556,149.587255979755
101,"AZ",5,"AZ-05",200,15105,"KOLBE, James Thomas",0.351,-0.534,0.366,-0.559,27.7777777777778,9.82942169287376
101,"AZ",4,"AZ-04",200,15429,"KYL, Jon Llewellyn",0.548,-0.413,0.601,-0.323,16.6666666666667,1788.42848934597
101,"AZ",1,"AZ-01",200,15440,"RHODES, John Jacob, III",0.407,-0.249,0.41,-0.267,11.1111111111111,8.8744493284669
101,"AR",3,"AR-03",200,11020,"HAMMERSCHMIDT, John Paul",0.253,0.239,0.374,0.378,16.6666666666667,565.570495050761
101,"AR",1,"AR-01",100,12000,"ALEXANDER, William Vollie (Bill), Jr.",-0.41,0.819,-0.438,0.899,50,39.9137173089413
101,"AR",4,"AR-04",100,14601,"ANTHONY, Beryl Franklin, Jr.",-0.254,0.484,-0.305,0.544,50,1264.4369959068
101,"AR",2,"AR-02",200,95122,"ROBINSON, Tommy Franklin",0.257,0.241,0.259,0.284,16.6666666666667,20.1635895708462
101,"CA",36,"CA-36",100,10573,"BROWN, George Edward, Jr.",-0.506,-0.028,-0.409,0.157,61.1111111111111,0.868361620840927
101,"CA",10,"CA-10",100,10583,"EDWARDS, William Donlon (Don)",-0.599,-0.419,-0.605,-0.248,83.3333333333333,11.2916610715001
101,"CA",29,"CA-29",100,10595,"HAWKINS, Augustus Freeman (Gus)",-0.517,-0.369,-0.455,-0.885,66.6666666666667,36.4040999641339
